Topic,Link
Education,http://www.elruinaversal.com/2017/06/10/rae-incluira-la-palabra-lady-en-el-diccionario-del-idioma-espanol-como-definicion-de-mujer-problematica/
Education,https://haynoticia.es/la-palabra-haiga-aceptada-la-rae9999/
Education,http://www.elruinaversal.com/2018/05/06/yordi-rosado-escribira-y-disenara-los-nuevos-libros-de-texto-de-la-sep-para-hacerlos-mas-atractivos/
Education,http://www.elruinaversal.com/2017/05/06/unam-realizara-pruebas-antidoping-a-estudiantes-de-sociologia-y-filosofia-expulsaran-a-los-que-den-positivo/
Education,http://www.elruinaversal.com/2017/05/19/limitaran-el-tiempo-de-egreso-en-filosofia-y-sociologia-a-maximo-5-anos-para-evitar-la-formacion-de-fosiles/
Education,https://haynoticia.es/la-nueva-selectividad-permitira-los-estudiantes-realizar-los-examenes-online3333/
Education,http://www.elruinaversal.com/2017/05/19/pietro-boselli-el-maestro-mas-sexy-del-mundo-dara-clases-en-la-unam/
Society,http://www.elruinaversal.com/2018/01/18/ine-permitira-a-ciudadanos-poner-filtros-y-retoques-en-su-foto-de-la-credencial-de-elector/
Society,https://haynoticia.es/colas-de-50-metros-en-eroskis-de-madrid-para-comprar-la-crema-de-cifuentes/
Society,https://www.eldizque.com/el-consentimiento-sexual-debera-de-ser-por-escrito/
Society,https://www.eldizque.com/se-descubre-que-sigmund-freud-invento-el-psicoanalisis-como-un-metodo-para-ligar/
Society,https://www.eldizque.com/mexico-pierde-litigio-el-pulque-ahora-sera-aleman/
Society,https://haynoticia.es/personas-barba-mas-5-cm-pasaran-control-especial-aeropuertos7777/
Society,https://gutenberg.rocks/facebook-cerrara-cuenta-tienes-mala-ortografia/
Society,http://www.elruinaversal.com/2017/03/10/feministas-ganan-demanda-para-evitar-que-se-celebre-un-dia-internacional-del-hombre/
Society,https://www.eldizque.com/los-comerciantes-de-tepito-felices-con-el-triunfo-de-donald-trump/
Society,http://www.elruinaversal.com/2018/02/16/facebook-cancela-cuenta-de-lopez-doriga-por-pregonar-noticias-falsas/
Society,https://www.eldizque.com/desamigar-en-facebook-se-considerara-como-discriminacion/
Society,https://www.eldizque.com/la-caida-de-whatsapp-fue-profetizada-por-la-biblia/
Society,http://lavozpopular.com/vaticano-dice-haber-encontrado-platanos-infectados-virus-la-homosexualidad/
Society,https://www.eldizque.com/aunque-ya-fue-aprobado-los-americanistas-rechazan-el-cambio-de-nombre-para-el-estadio-azteca/
Society,https://haynoticia.es/obispo-recomienda-las-mujeres-taparse-poco-mas-verano-evitar-malentendidos3333/
Society,https://haynoticia.es/madrid-abre-primer-centro-tratamiento-la-homosexualidad/
Society,https://www.eldizque.com/borrar-de-tus-contactos-a-tu-ex-pareja-en-facebook-sera-ilegal-suprema-corte/
Society,http://lavozpopular.com/la-iglesia-concedera-becas-discapacidad-los-homosexuales/
Society,https://haynoticia.es/gobierno-subvencionara-alargamientos-pene-espanoles-menos-1358-cm3333/
Society,https://haynoticia.es/las-mujeres-tendran-realizar-doble-examen-practico-conseguir-carnet3333/
Society,https://www.eldizque.com/un-exito-la-hamburguesa-de-flor-de-cempasuchil-lanzada-por-mcdonalds/
Society,https://www.eldizque.com/la-automotriz-audi-anuncia-que-cambiara-su-nombre-en-mexico/
Society,https://haynoticia.es/le-llega-una-factura-de-2-000-euros-de-la-compania-de-la-luz-despues-de-cargar-su-coche-electrico-en-casa5555/
Society,https://www.eldizque.com/taco-bell-registra-la-palabra-taco-los-tacos-mexicanos-deberan-cambiar-de-nombre/
Society,http://www.elruinaversal.com/2018/03/17/chilangos-aprueban-aborto-con-200-semanas-de-gestacion-por-si-sale-fea-la-criatura/
Society,https://www.eldizque.com/lanzan-eau-de-chilang-la-primer-fragancia-pensada-para-los-habitantes-de-la-cdmx/
Society,https://www.eldizque.com/casi-listo-el-relanzamiento-de-myspace-ahora-permitira-hacer-todo-lo-que-la-competencia-permite/
Society,https://www.eldizque.com/historico-fallo-de-la-suprema-corte-el-pozole-deja-de-ser-mexicano/
Society,https://haynoticia.es/la-iglesia-se-plantea-cobrar-1-euro-de-entrada-para-oir-misa9999/
Society,http://www.elruinaversal.com/2018/02/09/pumba-sera-mujer-en-remake-de-el-rey-leon-tras-presion-del-frente-por-la-familia-de-mostrar-una-familia-normal/
Society,https://www.eldizque.com/estudio-demuestra-que-las-personas-no-leen-los-links-que-comparten/
Society,https://haynoticia.es/2personas-usen-gafas-seran-consideradas-discapacitadas-partir-20187777/
Society,https://haynoticia.es/detenidos-2-monaguillos-gallegos-meter-marihuana-botafumeiro3333/
Society,https://haynoticia.es/la-iglesia-prohibe-mantener-relaciones-durante-la-semana-santa3333/
Society,https://www.eldizque.com/un-grupo-de-expertos-descubre-los-pasos-a-seguir-para-evitar-el-divorcio/
Society,https://haynoticia.es/golpean-al-dj-una-disco-poner-despacito-10-veces-una-noche/
Society,http://www.elruinaversal.com/2017/06/30/epn-demandara-por-acoso-sexual-a-la-mujer-que-lo-beso-en-la-boca-a-la-fuerza/
Science,https://www.eldizque.com/descubren-que-los-taxis-de-la-ciudad-de-mexico-no-utilizan-gasolina/
Science,https://www.eldizque.com/facebook-ya-no-recibira-mas-avisos-de-privacidad-se-les-advirtio-con-tiempo/
Science,https://www.eldizque.com/facebook-poseera-las-almas-de-sus-usuarios-partir-de-2015/
Science,https://www.eldizque.com/reproducir-reggaeton-puede-causar-danos-irreparables-a-los-iphones/
Science,https://www.eldizque.com/facebook-cobrara-manejo-de-cuenta-si-no-se-cubre-un-minimo-de-posts/
Science,http://www.elruinaversal.com/2018/04/11/hi5-vuelve-a-convertirse-en-la-red-social-mas-popular-tras-escandalo-de-facebook-por-vender-datos/
Science,https://www.eldizque.com/imss-se-moderniza-adquiere-computadoras-commodore-64/
Science,https://www.eldizque.com/el-fbi-revela-como-logro-desencriptar-el-iphone-de-un-terrorista-sin-la-ayuda-de-apple/
Science,https://www.eldizque.com/seis-meses-google-plus-rifo-ferrari-usuarios-nadie-se-habia-enterado/
Science,https://haynoticia.es/primeros-perros-modificados-geneticamente-para-que-no-ladren/?memeo
Science,https://haynoticia.es/movistar-vodafone-orange-bloquearan-los-torrents-partir-mayo/
Science,http://lavozpopular.com/papa-francisco-anuncia-app-ligar-iglesia/
Science,https://www.publimetro.cl/cl/mundo/2016/10/05/tendremos-otra-hielo-2019-segun-cientificos.html
Science,https://www.eldizque.com/anuncia-facebook-que-ahora-solo-aceptara-un-numero-limitado-de-selfies-por-dia/
Science,https://www.eldizque.com/el-shampoo-sera-el-alimento-del-futuro-aseguran-expertos/
Science,http://lavozpopular.com/whatsapp-incluira-la-bandera-daesh-proxima-actualizacion/
Science,https://www.eldizque.com/hackean-a-la-plataforma-spotify-en-mexico-que-no-cunda-el-panico-piden/
Science,https://haynoticia.es/2020-canarias-tendra-la-misma-hora-la-peninsula9999/
Science,https://www.eldizque.com/los-videojuegos-pokemon-pueden-anular-el-deseo-sexual-en-adultos/
Science,https://www.eldizque.com/de-la-fusion-de-microsoft-y-apple-surge-micropple/
Security,https://www.eldizque.com/se-da-a-conocer-el-perfil-del-hombre-que-ataco-a-alberto-del-rio/
Security,https://tiempo.hn/mexicana-detenida-vender-tamales-carne-humana/amp/
Security,https://haynoticia.es/2la-dgt-obligara-a-los-copilotos-pasar-tambien-test-alcoholemia-3333/
Security,https://haynoticia.es/detienen-periodista-cometer-delitos-escribir-las-noticias3333/
Security,https://haynoticia.es/gobierno-legalizara-delitos-dia-los-inocentes-se-hacen-broma3333/
Health,https://www.eldizque.com/descubren-que-una-dieta-a-base-de-tacos-puede-prevenir-el-cancer/
Health,https://www.eldizque.com/descubren-que-falta-de-sexo-puede-afectar-la-percepcion-de-los-colores/
Health,https://www.eldizque.com/descubren-la-relacion-entre-los-celulares-y-el-cancer/
Health,https://haynoticia.es/banco-semen-denuncia-donante-llenar-los-frascos-leche-condensada5555/
Health,https://haynoticia.es/hospitales-espanoles-instalaran-chips-identificacion-los-bebes-partir-2018-3333/
Health,https://www.ecoportal.net/paises/estados-unidos/la_fda_finalmente_admite_que_el_pollo_contiene_arsenico_que_causa_cancer/
Health,https://www.eldizque.com/organizacion-mundial-de-la-salud-emite-alerta-sanitaria-por-culpa-del-cruz-azul/
Health,http://www.abc.es/sociedad/abci-union-europea-podria-prohibir-kebabs-riesgos-para-salud-201712021351_noticia.html
Health,https://www.eldizque.com/descubren-que-las-campechanas-son-mas-eficaces-que-el-viagra/
Economy,http://www.elruinaversal.com/2017/06/12/wikipedia-dejara-de-funcionar-luego-de-que-solo-lograran-juntar-300-dolares-de-donaciones/
Economy,https://www.eldizque.com/uber-ahora-ofrecera-servicio-de-bicicletas-bicitaxistas-prenden-las-alarmas/
Economy,https://www.eldizque.com/la-gasolina-remplazara-al-peso-como-moneda-mexicana/
Economy,https://www.eldizque.com/televisa-compra-los-derechos-de-los-chats-de-facebook/
Economy,https://www.eldizque.com/la-secretaria-de-energia-confirma-que-disney-comprara-pemex/
Economy,http://www.elruinaversal.com/2017/12/13/privatizaran-el-cerro-del-tepeyac-para-construir-un-complejo-de-departamentos-y-casas-de-lujo/
Economy,https://haynoticia.es/las-monedas-euro-cambiaran-la-cara-del-rey-la-deportistas-nacionales-nadal-e-iniesta3333/
Sport,https://www.eldizque.com/tras-la-final-rayados-exige-recuento-goles-por-goles-porteria-por-porteria/
Sport,https://www.eldizque.com/pide-conade-que-se-repita-el-partido-mexico-vs-corea-en-rio-2016/
Sport,https://www.eldizque.com/persiste-un-inquietante-rumor-sobre-los-juegos-olimpicos-de-rio-2016/
Sport,https://www.eldizque.com/miguel-angel-mancera-enfrentara-a-floyd-mayweather-en-el-zocalo-capitalino/
Sport,https://www.eldizque.com/los-cachorros-de-chicago-se-deslindan-de-cm-punk/
Sport,https://www.eldizque.com/panico-en-rio-2016-le-informan-a-epn-que-las-medallas-no-se-ganan-por-decreto/
Sport,https://www.eldizque.com/directivos-de-las-chivas-sacamos-a-almeyda-porque-ya-habiamos-contratado-a-zidane/
Sport,https://www.eldizque.com/televisa-compra-al-club-guadalajara-las-ahora-chivas-de-coapa-jugaran-en-el-azteca/
Sport,https://www.eldizque.com/enrique-pena-nieto-pide-solidaridad-por-las-chivas-del-guadalajara/
Sport,https://www.eldizque.com/jorge-kahwagi-entrara-al-salon-de-la-fama-del-boxeo-internacional/
Sport,https://www.eldizque.com/no-mas-estadio-azteca-las-aguilas-del-america-se-mudan-a-culiacan/
Sport,https://www.eldizque.com/la-conade-presento-las-medallas-de-consolacion-que-recibiran-los-atletas-mexicanos-en-rio-2016/
Sport,https://www.eldizque.com/pumas-de-la-unam-levanta-queja-tras-la-derrota-ante-tigres-fue-una-conspiracion-aseguran/
Sport,https://www.eldizque.com/la-derrota-del-america-ante-rayados-fue-una-cortina-de-humo-revelan/
Sport,https://haynoticia.es/nueva-normativa-obliga-a-llevar-gorro-en-la-barba-en-todas-las-piscinas3333/
Sport,https://www.eldizque.com/ricardo-pelaez-revela-guardiola-sera-el-nuevo-dt-del-club-america/
Sport,https://www.eldizque.com/denuncian-fraude-en-la-final-del-voleibol-de-playa-femenil-de-rio-2016/
Sport,https://www.eldizque.com/dos-razones-por-las-que-los-rayados-seran-campeones-de-la-liga-mx/
Sport,https://www.eldizque.com/para-exterminar-a-las-barras-bravas-la-femexfut-traera-hooligans-a-mexico/
Sport,https://www.eldizque.com/cruz-azul-dejara-la-liga-mx-para-integrarse-a-futbolito-bimbo/
Sport,https://www.eldizque.com/cuauhtemoc-blanco-deja-la-alcaldia-de-cuernavaca-ahora-jugara-con-el-real-madrid/
Sport,https://www.eldizque.com/la-camiseta-verde-del-america-sera-la-oficial-de-la-seleccion-mexicana-en-rusia/
Sport,https://haynoticia.es/expedientado-cura-por-poner-un-televisor-en-el-confesionario-para-ver-el-futbol/
Sport,https://haynoticia.es/messi-todavia-estoy-tiempo-jugar-la-seleccion-espanola/
Sport,https://www.eldizque.com/lo-mejor-es-no-pagarles-a-los-jugadores-de-las-chivas-vergara/
Sport,https://www.eldizque.com/maradona-y-el-papa-francisco-se-fueron-de-parranda-tras-el-partido-de-argentina/
Sport,https://www.eldizque.com/los-cachorros-de-chicago-se-deslindan-del-cruz-azul/
Sport,https://www.eldizque.com/lionel-messi-y-el-cruz-azul-favoritos-para-el-balon-de-plata-de-la-fifa/
Sport,https://www.eldizque.com/tenemos-la-lista-completa-de-expresiones-prohibidas-en-los-estadios-enviada-por-la-fifa-a-mexico/
Sport,https://www.eldizque.com/terminando-la-campana-de-los-patriotas-tom-brady-se-ira-a-miami/
Sport,http://lavozpopular.com/uspendido-superbowl-anuncios-lady-gaga/
Sport,https://www.eldizque.com/otro-fraude-en-la-rusia-2018-descubren-que-messi-fue-suplantado/
Sport,https://www.eldizque.com/el-barcelona-podria-integrarse-a-la-liga-mx/
Sport,https://www.eldizque.com/revelada-la-condicion-medica-del-portero-agustin-marchesin-que-causo-la-derrota-del-america/
Sport,https://www.eldizque.com/pena-nieto-decreta-una-nueva-fiesta-anual-el-dia-del-mundial/
Sport,https://www.eldizque.com/la-conapred-defiende-a-darwin-quintero-y-pide-que-no-salga-del-america/
Sport,https://www.clarin.com/deportes/seleccion-nacional/resignarse-lionel-messi-rusia_0_HJc1DVYnG.html
Politics,http://www.elruinaversal.com/2018/03/26/nuevo-leon-inicia-tramites-para-independizarse-de-la-republica-mexicana/
Politics,https://www.eldizque.com/trump-castigara-a-mexico-cancelara-todas-las-transmisiones-de-la-nfl/
Politics,https://haynoticia.es/nueva-ley-permitira-fumar-interior-locales-previo-pago3333/
Politics,http://www.elruinaversal.com/2017/09/09/pan-analiza-idea-de-lanzar-a-marta-sahagun-a-la-presidencia-en-2018-en-vez-de-margarita-zavala/
Politics,https://www.eldizque.com/baja-california-norte-y-baja-california-sur-firman-un-tratado-de-paz/
Politics,http://www.elruinaversal.com/2017/06/04/nicolas-maduro-recomienda-a-habitantes-del-edomex-votar-por-delfina-gomez/
Politics,https://www.laotraopinion.com.mx/cuando-pepe-mujica-rechazo-reunirse-con-lopez-obrador/
Politics,http://www.elruinaversal.com/2018/06/13/pato-zambrano-es-de-los-mejores-elementos-de-morena-me-recuerda-a-mi-cuando-inicie-en-la-politica-amlo/
Politics,http://www.elruinaversal.com/2018/07/03/expertos-confirman-que-fuimos-hackeados-durante-la-eleccion-los-resultados-tendran-que-invalidarse-director-del-ine/
Politics,https://www.eldizque.com/tras-demanda-el-pri-debera-cambiar-sus-colores/
Politics,https://www.eldizque.com/impactante-escena-de-celos-armo-angelica-rivera-a-enrique-pena-nieto/
Politics,http://www.elruinaversal.com/2018/07/03/los-mexicanos-son-unos-mediocres-ignorantes-debieron-votar-por-anaya-gobernador-de-atlanta/
Politics,http://www.elruinaversal.com/2018/02/06/eruviel-avila-hace-encuesta-entre-familiares-y-amigos-para-demostrar-popularidad-de-meade/
Politics,http://www.elruinaversal.com/2018/03/08/margarita-zavala-confiesa-que-si-gana-la-presidencia-habra-una-segunda-guerra-contra-el-narco/
Politics,https://www.eldizque.com/presenta-mancera-la-tarjeta-para-poder-ir-a-festejar-los-triunfos-deportivos-al-angel-no-sera-tan-cara-aseguro/
Politics,http://www.elruinaversal.com/2017/06/04/alfredo-del-mazo-prohibira-que-las-mujeres-del-edomex-trabajen-si-gana-la-gubernatura/
Politics,https://www.eldizque.com/meade-por-fin-toma-una-decision-creo-que-votare-por-mi/
Politics,https://haynoticia.es/la-casa-blanca-pone-error-la-bandera-mexicana-la-recepcion-rajoy/
Politics,https://noticieros.televisa.com/ultimas-noticias/rusia-podria-estar-apoyando-precampana-amlo-washington-post/
Politics,http://www.elruinaversal.com/2018/07/02/ine-autoriza-realizar-examen-psicologico-a-amlo-para-determinar-que-esta-mentalmente-apto-para-gobernar-el-pais/
Politics,http://www.elruinaversal.com/2018/06/26/extranjeros-que-tengan-mas-de-6-meses-en-mexico-podran-votar-el-1-de-julio-aunque-no-tengan-ciudadania/
Politics,https://www.laotraopinion.com.mx/video-maduro-financia-campana-de-amlo-acusa-diputado-venezolano/
Politics,http://www.elruinaversal.com/2017/05/15/revelan-que-el-gobierno-negocio-la-liberacion-de-mireles-a-cambio-de-otorgarle-el-perdon-a-javier-duarte/
Politics,https://carlosagaton.blogspot.com/2017/07/angelica-rivera-soy-mexicana-pero-de.html
Politics,http://www.elruinaversal.com/2017/09/09/guatemaltecos-sorprenden-al-mundo-al-elegir-a-ricardo-arjona-como-su-nuevo-presidente/
Politics,https://haynoticia.es/el-gobierno-regalara-viagra-a-los-pensionistas-para-calmar-los-animos5555/
Politics,http://www.elruinaversal.com/2018/03/31/carlos-salinas-de-gortari-revela-que-votara-por-amlo-en-el-2018/
Politics,http://www.elruinaversal.com/2017/05/27/amlo-cierra-acuerdo-con-elba-esther-para-que-se-integre-al-gabinete-de-delfina-cuando-gane-el-edomex/
Politics,http://www.elruinaversal.com/2018/06/19/ine-autoriza-el-sufragio-vip-el-voto-de-empresarios-politicos-y-celebridades-contara-10-veces-mas/
Politics,http://www.elruinaversal.com/2017/04/28/epn-nombra-a-la-revista-hola-como-una-nueva-institucion-gubernamental/
Politics,http://www.elruinaversal.com/2018/02/28/carlos-salinas-renuncia-al-pri-y-amlo-lo-invita-a-integrarse-a-morena/
Politics,http://www.elruinaversal.com/2018/01/02/elba-esther-gordillo-recibe-brazalete-de-diamantes-para-ser-monitoreada-afuera-de-la-carcel/
Politics,http://www.elruinaversal.com/2018/05/09/afirman-que-pri-analiza-destituir-a-meade-como-su-presidenciable-y-lanzar-a-manuel-velasco/
Politics,http://www.elruinaversal.com/2017/07/20/javier-duarte-podria-quedar-en-libertad-si-se-comprueba-que-padece-cleptomania/
Politics,http://www.elruinaversal.com/2018/01/17/meade-revela-que-bajara-la-mayoria-de-edad-a-los-16-anos-si-gana-las-elecciones/
Politics,https://www.eldizque.com/luis-videgaray-deja-shcp-y-toma-el-lugar-de-osorio-al-frente-de-la-seleccion-nacional/
