Index,Topic,Link,Date
0,Education,http://www.elruinaversal.com/2017/06/10/rae-incluira-la-palabra-lady-en-el-diccionario-del-idioma-espanol-como-definicion-de-mujer-problematica/,2017-06-10
1,Education,https://haynoticia.es/la-palabra-haiga-aceptada-la-rae9999/,2018-01-06
2,Education,http://www.elruinaversal.com/2018/05/06/yordi-rosado-escribira-y-disenara-los-nuevos-libros-de-texto-de-la-sep-para-hacerlos-mas-atractivos/,2018-05-06
3,Education,http://www.elruinaversal.com/2017/05/06/unam-realizara-pruebas-antidoping-a-estudiantes-de-sociologia-y-filosofia-expulsaran-a-los-que-den-positivo/,2017-05-06
4,Education,http://www.elruinaversal.com/2017/05/19/limitaran-el-tiempo-de-egreso-en-filosofia-y-sociologia-a-maximo-5-anos-para-evitar-la-formacion-de-fosiles/,2017-05-19
5,Education,https://haynoticia.es/la-nueva-selectividad-permitira-los-estudiantes-realizar-los-examenes-online3333/,2017-05-22
6,Education,http://www.elruinaversal.com/2017/05/19/pietro-boselli-el-maestro-mas-sexy-del-mundo-dara-clases-en-la-unam/,2017-05-19
7,Society,http://www.elruinaversal.com/2018/01/18/ine-permitira-a-ciudadanos-poner-filtros-y-retoques-en-su-foto-de-la-credencial-de-elector/,2018-01-18
8,Society,https://haynoticia.es/colas-de-50-metros-en-eroskis-de-madrid-para-comprar-la-crema-de-cifuentes/,2018-05-03
9,Society,https://www.eldizque.com/el-consentimiento-sexual-debera-de-ser-por-escrito/,2020-03-27
10,Society,https://www.eldizque.com/se-descubre-que-sigmund-freud-invento-el-psicoanalisis-como-un-metodo-para-ligar/,2017-06-06
11,Society,https://www.eldizque.com/mexico-pierde-litigio-el-pulque-ahora-sera-aleman/,2016-12-13
12,Society,https://haynoticia.es/personas-barba-mas-5-cm-pasaran-control-especial-aeropuertos7777/,2018-02-11
13,Society,https://gutenberg.rocks/facebook-cerrara-cuenta-tienes-mala-ortografia/,2023-06-08
14,Society,http://www.elruinaversal.com/2017/03/10/feministas-ganan-demanda-para-evitar-que-se-celebre-un-dia-internacional-del-hombre/,2017-03-10
15,Society,https://www.eldizque.com/los-comerciantes-de-tepito-felices-con-el-triunfo-de-donald-trump/,2016-11-16
16,Society,http://www.elruinaversal.com/2018/02/16/facebook-cancela-cuenta-de-lopez-doriga-por-pregonar-noticias-falsas/,2018-02-16
17,Society,https://www.eldizque.com/desamigar-en-facebook-se-considerara-como-discriminacion/,2016-03-07
18,Society,https://www.eldizque.com/la-caida-de-whatsapp-fue-profetizada-por-la-biblia/,2017-05-03
19,Society,http://lavozpopular.com/vaticano-dice-haber-encontrado-platanos-infectados-virus-la-homosexualidad/,2016-11-22
20,Society,https://www.eldizque.com/aunque-ya-fue-aprobado-los-americanistas-rechazan-el-cambio-de-nombre-para-el-estadio-azteca/,2016-10-17
21,Society,https://haynoticia.es/obispo-recomienda-las-mujeres-taparse-poco-mas-verano-evitar-malentendidos3333/,2017-06-15
22,Society,https://haynoticia.es/madrid-abre-primer-centro-tratamiento-la-homosexualidad/,2016-09-15
23,Society,https://www.eldizque.com/borrar-de-tus-contactos-a-tu-ex-pareja-en-facebook-sera-ilegal-suprema-corte/,2017-06-13
24,Society,http://lavozpopular.com/la-iglesia-concedera-becas-discapacidad-los-homosexuales/,2017-06-27
25,Society,https://haynoticia.es/gobierno-subvencionara-alargamientos-pene-espanoles-menos-1358-cm3333/,2017-10-31
26,Society,https://haynoticia.es/las-mujeres-tendran-realizar-doble-examen-practico-conseguir-carnet3333/,2017-06-15
27,Society,https://www.eldizque.com/un-exito-la-hamburguesa-de-flor-de-cempasuchil-lanzada-por-mcdonalds/,2017-11-02
28,Society,https://www.eldizque.com/la-automotriz-audi-anuncia-que-cambiara-su-nombre-en-mexico/,2016-08-02
29,Society,https://haynoticia.es/le-llega-una-factura-de-2-000-euros-de-la-compania-de-la-luz-despues-de-cargar-su-coche-electrico-en-casa5555/,2018-03-28
30,Society,https://www.eldizque.com/taco-bell-registra-la-palabra-taco-los-tacos-mexicanos-deberan-cambiar-de-nombre/,2018-06-12
31,Society,http://www.elruinaversal.com/2018/03/17/chilangos-aprueban-aborto-con-200-semanas-de-gestacion-por-si-sale-fea-la-criatura/,2018-03-17
32,Society,https://www.eldizque.com/lanzan-eau-de-chilang-la-primer-fragancia-pensada-para-los-habitantes-de-la-cdmx/,2017-06-20
33,Society,https://www.eldizque.com/casi-listo-el-relanzamiento-de-myspace-ahora-permitira-hacer-todo-lo-que-la-competencia-permite/,2016-06-25
34,Society,https://www.eldizque.com/historico-fallo-de-la-suprema-corte-el-pozole-deja-de-ser-mexicano/,2017-07-10
35,Society,https://haynoticia.es/la-iglesia-se-plantea-cobrar-1-euro-de-entrada-para-oir-misa9999/,2018-06-09
36,Society,http://www.elruinaversal.com/2018/02/09/pumba-sera-mujer-en-remake-de-el-rey-leon-tras-presion-del-frente-por-la-familia-de-mostrar-una-familia-normal/,2018-02-09
37,Society,https://www.eldizque.com/estudio-demuestra-que-las-personas-no-leen-los-links-que-comparten/,2016-05-15
38,Society,https://haynoticia.es/2personas-usen-gafas-seran-consideradas-discapacitadas-partir-20187777/,2018-11-26
39,Society,https://haynoticia.es/detenidos-2-monaguillos-gallegos-meter-marihuana-botafumeiro3333/,2018-12-05
40,Society,https://haynoticia.es/la-iglesia-prohibe-mantener-relaciones-durante-la-semana-santa3333/,2019-03-26
41,Society,https://www.eldizque.com/un-grupo-de-expertos-descubre-los-pasos-a-seguir-para-evitar-el-divorcio/,2017-05-17
42,Society,https://haynoticia.es/golpean-al-dj-una-disco-poner-despacito-10-veces-una-noche/,2017-06-27
43,Society,http://www.elruinaversal.com/2017/06/30/epn-demandara-por-acoso-sexual-a-la-mujer-que-lo-beso-en-la-boca-a-la-fuerza/,2017-06-30
44,Science,https://www.eldizque.com/descubren-que-los-taxis-de-la-ciudad-de-mexico-no-utilizan-gasolina/,2017-04-25
45,Science,https://www.eldizque.com/facebook-ya-no-recibira-mas-avisos-de-privacidad-se-les-advirtio-con-tiempo/,2020-06-05
46,Science,https://www.eldizque.com/facebook-poseera-las-almas-de-sus-usuarios-partir-de-2015/,2015-07-21
47,Science,https://www.eldizque.com/reproducir-reggaeton-puede-causar-danos-irreparables-a-los-iphones/,2016-04-19
48,Science,https://www.eldizque.com/facebook-cobrara-manejo-de-cuenta-si-no-se-cubre-un-minimo-de-posts/,2018-04-27
49,Science,http://www.elruinaversal.com/2018/04/11/hi5-vuelve-a-convertirse-en-la-red-social-mas-popular-tras-escandalo-de-facebook-por-vender-datos/,2018-04-11
50,Science,https://www.eldizque.com/imss-se-moderniza-adquiere-computadoras-commodore-64/,2015-08-06
51,Science,https://www.eldizque.com/el-fbi-revela-como-logro-desencriptar-el-iphone-de-un-terrorista-sin-la-ayuda-de-apple/,2016-03-31
52,Science,https://www.eldizque.com/seis-meses-google-plus-rifo-ferrari-usuarios-nadie-se-habia-enterado/,2015-06-29
53,Science,https://haynoticia.es/primeros-perros-modificados-geneticamente-para-que-no-ladren/?memeo,2018-06-27
54,Science,https://haynoticia.es/movistar-vodafone-orange-bloquearan-los-torrents-partir-mayo/,2017-04-23
55,Science,http://lavozpopular.com/papa-francisco-anuncia-app-ligar-iglesia/,2016-12-08
56,Science,https://www.publimetro.cl/cl/mundo/2016/10/05/tendremos-otra-hielo-2019-segun-cientificos.html,2016-10-05
57,Science,https://www.eldizque.com/anuncia-facebook-que-ahora-solo-aceptara-un-numero-limitado-de-selfies-por-dia/,2015-11-09
58,Science,https://www.eldizque.com/el-shampoo-sera-el-alimento-del-futuro-aseguran-expertos/,2017-04-05
59,Science,http://lavozpopular.com/whatsapp-incluira-la-bandera-daesh-proxima-actualizacion/,2016-03-30
60,Science,https://www.eldizque.com/hackean-a-la-plataforma-spotify-en-mexico-que-no-cunda-el-panico-piden/,2015-12-03
61,Science,https://haynoticia.es/2020-canarias-tendra-la-misma-hora-la-peninsula9999/,2017-12-27
62,Science,https://www.eldizque.com/los-videojuegos-pokemon-pueden-anular-el-deseo-sexual-en-adultos/,2018-06-07
63,Science,https://www.eldizque.com/de-la-fusion-de-microsoft-y-apple-surge-micropple/,2016-06-25
