Path,Model,%Syntetic
0000 (10).jpg,RealImagesDataset,39.18
0000 (2).jpg,RealImagesDataset,81.45
0000 (3).jpg,RealImagesDataset,46.77
0000 (4).jpg,RealImagesDataset,28.71
0000 (5).jpg,RealImagesDataset,21.89
0000 (6).jpg,RealImagesDataset,48.32
0000 (7).jpg,RealImagesDataset,30.62
0000 (8).jpg,RealImagesDataset,40.91
0000 (9).jpg,RealImagesDataset,76.78
0000.jpg,RealImagesDataset,29.54
0001 (10).jpg,RealImagesDataset,24.82
0001 (2).jpg,RealImagesDataset,67.02
0001 (3).jpg,RealImagesDataset,56.26
0001 (4).jpg,RealImagesDataset,25.86
0001 (5).jpg,RealImagesDataset,63.20
0001 (6).jpg,RealImagesDataset,25.58
0001 (7).jpg,RealImagesDataset,65.08
0001 (8).jpg,RealImagesDataset,42.63
0001 (9).jpg,RealImagesDataset,53.69
0001.jpg,RealImagesDataset,31.39
0002 (10).jpg,RealImagesDataset,29.57
0002 (2).jpg,RealImagesDataset,22.29
0002 (3).jpg,RealImagesDataset,23.68
0002 (4).jpg,RealImagesDataset,4.27
0002 (5).jpg,RealImagesDataset,50.91
0002 (6).jpg,RealImagesDataset,44.23
0002 (7).jpg,RealImagesDataset,13.15
0002 (8).jpg,RealImagesDataset,25.88
0002 (9).jpg,RealImagesDataset,72.73
0002.jpg,RealImagesDataset,8.46
0003 (10).jpg,RealImagesDataset,34.21
0003 (2).jpg,RealImagesDataset,74.14
0003 (3).jpg,RealImagesDataset,11.87
0003 (4).jpg,RealImagesDataset,79.01
0003 (5).jpg,RealImagesDataset,64.02
0003 (6).jpg,RealImagesDataset,63.56
0003 (7).jpg,RealImagesDataset,52.94
0003 (8).jpg,RealImagesDataset,31.50
0003 (9).jpg,RealImagesDataset,32.32
0003.jpg,RealImagesDataset,17.02
0004 (10).jpg,RealImagesDataset,22.03
0004 (2).jpg,RealImagesDataset,86.74
0004 (3).jpg,RealImagesDataset,19.29
0004 (4).jpg,RealImagesDataset,29.52
0004 (5).jpg,RealImagesDataset,42.82
0004 (6).jpg,RealImagesDataset,23.80
0004 (7).jpg,RealImagesDataset,59.30
0004 (8).jpg,RealImagesDataset,43.14
0004 (9).jpg,RealImagesDataset,38.07
0004.jpg,RealImagesDataset,32.89
0005 (10).jpg,RealImagesDataset,27.37
0005 (2).jpg,RealImagesDataset,57.95
0005 (3).jpg,RealImagesDataset,29.72
0005 (4).jpg,RealImagesDataset,14.41
0005 (5).jpg,RealImagesDataset,58.42
0005 (6).jpg,RealImagesDataset,60.67
0005 (7).jpg,RealImagesDataset,51.04
0005 (8).jpg,RealImagesDataset,49.10
0005 (9).jpg,RealImagesDataset,41.25
0005.jpg,RealImagesDataset,5.62
0006 (10).jpg,RealImagesDataset,34.00
0006 (2).jpg,RealImagesDataset,59.89
0006 (3).jpg,RealImagesDataset,20.46
0006 (4).jpg,RealImagesDataset,85.42
0006 (5).jpg,RealImagesDataset,8.49
0006 (6).jpg,RealImagesDataset,36.10
0006 (7).jpg,RealImagesDataset,33.08
0006 (8).jpg,RealImagesDataset,49.88
0006 (9).jpg,RealImagesDataset,15.82
0006.jpg,RealImagesDataset,57.99
0007 (10).jpg,RealImagesDataset,46.78
0007 (2).jpg,RealImagesDataset,25.91
0007 (3).jpg,RealImagesDataset,29.11
0007 (4).jpg,RealImagesDataset,36.76
0007 (5).jpg,RealImagesDataset,32.62
0007 (6).jpg,RealImagesDataset,44.75
0007 (7).jpg,RealImagesDataset,33.57
0007 (8).jpg,RealImagesDataset,19.40
0007 (9).jpg,RealImagesDataset,16.57
0007.jpg,RealImagesDataset,45.59
0008 (10).jpg,RealImagesDataset,30.64
0008 (2).jpg,RealImagesDataset,30.24
0008 (3).jpg,RealImagesDataset,32.92
0008 (4).jpg,RealImagesDataset,53.01
0008 (5).jpg,RealImagesDataset,47.96
0008 (6).jpg,RealImagesDataset,36.56
0008 (7).jpg,RealImagesDataset,69.10
0008 (8).jpg,RealImagesDataset,12.19
0008 (9).jpg,RealImagesDataset,51.34
0008.jpg,RealImagesDataset,6.20
0009 (10).jpg,RealImagesDataset,61.64
0009 (2).jpg,RealImagesDataset,61.01
0009 (3).jpg,RealImagesDataset,12.11
0009 (4).jpg,RealImagesDataset,43.61
0009 (5).jpg,RealImagesDataset,19.08
0009 (6).jpg,RealImagesDataset,73.70
0009 (7).jpg,RealImagesDataset,68.27
0009 (8).jpg,RealImagesDataset,12.83
0009 (9).jpg,RealImagesDataset,9.28
0009.jpg,RealImagesDataset,26.97
0010 (10).jpg,RealImagesDataset,36.50
0010 (2).jpg,RealImagesDataset,64.53
0010 (3).jpg,RealImagesDataset,24.80
0010 (4).jpg,RealImagesDataset,43.95
0010 (5).jpg,RealImagesDataset,17.32
0010 (6).jpg,RealImagesDataset,28.00
0010 (7).jpg,RealImagesDataset,50.14
0010 (8).jpg,RealImagesDataset,38.87
0010 (9).jpg,RealImagesDataset,23.71
0010.jpg,RealImagesDataset,46.71
0011 (10).jpg,RealImagesDataset,62.11
0011 (2).jpg,RealImagesDataset,47.17
0011 (3).jpg,RealImagesDataset,13.72
0011 (4).jpg,RealImagesDataset,14.83
0011 (5).jpg,RealImagesDataset,17.06
0011 (6).jpg,RealImagesDataset,44.14
0011 (7).jpg,RealImagesDataset,47.58
0011 (8).jpg,RealImagesDataset,23.22
0011 (9).jpg,RealImagesDataset,53.78
0011.jpg,RealImagesDataset,40.04
0012 (10).jpg,RealImagesDataset,32.22
0012 (2).jpg,RealImagesDataset,26.44
0012 (3).jpg,RealImagesDataset,22.45
0012 (4).jpg,RealImagesDataset,19.40
0012 (5).jpg,RealImagesDataset,32.99
0012 (6).jpg,RealImagesDataset,19.26
0012 (7).jpg,RealImagesDataset,26.94
0012 (8).jpg,RealImagesDataset,41.99
0012 (9).jpg,RealImagesDataset,68.70
0012.jpg,RealImagesDataset,31.37
0013 (10).jpg,RealImagesDataset,41.68
0013 (2).jpg,RealImagesDataset,63.11
0013 (3).jpg,RealImagesDataset,30.66
0013 (4).jpg,RealImagesDataset,22.13
0013 (5).jpg,RealImagesDataset,23.57
0013 (6).jpg,RealImagesDataset,57.77
0013 (7).jpg,RealImagesDataset,48.43
0013 (8).jpg,RealImagesDataset,20.72
0013 (9).jpg,RealImagesDataset,37.59
0013.jpg,RealImagesDataset,49.53
0014 (10).jpg,RealImagesDataset,54.38
0014 (2).jpg,RealImagesDataset,52.72
0014 (3).jpg,RealImagesDataset,56.80
0014 (4).jpg,RealImagesDataset,28.24
0014 (5).jpg,RealImagesDataset,24.70
0014 (6).jpg,RealImagesDataset,77.23
0014 (7).jpg,RealImagesDataset,17.44
0014 (8).jpg,RealImagesDataset,20.47
0014 (9).jpg,RealImagesDataset,6.33
0014.jpg,RealImagesDataset,43.00
0015 (10).jpg,RealImagesDataset,14.63
0015 (2).jpg,RealImagesDataset,49.48
0015 (3).jpg,RealImagesDataset,30.54
0015 (4).jpg,RealImagesDataset,50.18
0015 (5).jpg,RealImagesDataset,19.58
0015 (6).jpg,RealImagesDataset,85.32
0015 (7).jpg,RealImagesDataset,23.92
0015 (8).jpg,RealImagesDataset,45.86
0015 (9).jpg,RealImagesDataset,17.89
0015.jpg,RealImagesDataset,18.63
0016 (10).jpg,RealImagesDataset,64.08
0016 (2).jpg,RealImagesDataset,79.12
0016 (3).jpg,RealImagesDataset,13.45
0016 (4).jpg,RealImagesDataset,15.48
0016 (5).jpg,RealImagesDataset,8.48
0016 (6).jpg,RealImagesDataset,25.45
0016 (7).jpg,RealImagesDataset,78.81
0016 (8).jpg,RealImagesDataset,63.78
0016 (9).jpg,RealImagesDataset,28.04
0016.jpg,RealImagesDataset,57.17
0017 (10).jpg,RealImagesDataset,28.99
0017 (2).jpg,RealImagesDataset,44.19
0017 (3).jpg,RealImagesDataset,23.48
0017 (4).jpg,RealImagesDataset,38.92
0017 (5).jpg,RealImagesDataset,9.67
0017 (6).jpg,RealImagesDataset,7.82
0017 (7).jpg,RealImagesDataset,39.67
0017 (8).jpg,RealImagesDataset,38.83
0017 (9).jpg,RealImagesDataset,22.79
0017.jpg,RealImagesDataset,18.39
0018 (10).jpg,RealImagesDataset,75.21
0018 (2).jpg,RealImagesDataset,31.15
0018 (3).jpg,RealImagesDataset,29.19
0018 (4).jpg,RealImagesDataset,25.49
0018 (5).jpg,RealImagesDataset,21.54
0018 (6).jpg,RealImagesDataset,46.65
0018 (7).jpg,RealImagesDataset,42.25
0018 (8).jpg,RealImagesDataset,83.95
0018 (9).jpg,RealImagesDataset,43.18
0018.jpg,RealImagesDataset,25.60
0019 (10).jpg,RealImagesDataset,43.37
0019 (2).jpg,RealImagesDataset,26.45
0019 (3).jpg,RealImagesDataset,11.21
0019 (4).jpg,RealImagesDataset,17.30
0019 (5).jpg,RealImagesDataset,38.57
0019 (6).jpg,RealImagesDataset,39.55
0019 (7).jpg,RealImagesDataset,34.80
0019 (8).jpg,RealImagesDataset,63.75
0019 (9).jpg,RealImagesDataset,18.67
0019.jpg,RealImagesDataset,56.54
