Path,Model,%Syntetic
img000000.jpg,BigGAN,0.00
img000001.jpg,BigGAN,65.31
img000002.jpg,BigGAN,0.76
img000003.jpg,BigGAN,0.06
img000004.jpg,BigGAN,99.55
img000005.jpg,BigGAN,0.00
img000006.jpg,BigGAN,0.00
img000007.jpg,BigGAN,0.01
img000008.jpg,BigGAN,5.06
img000009.jpg,BigGAN,0.00
img000010.jpg,BigGAN,2.56
img000011.jpg,BigGAN,4.09
img000012.jpg,BigGAN,0.52
img000013.jpg,BigGAN,0.01
img000014.jpg,BigGAN,0.00
img000015.jpg,BigGAN,70.17
img000016.jpg,BigGAN,10.54
img000017.jpg,BigGAN,0.07
img000018.jpg,BigGAN,0.03
img000019.jpg,BigGAN,69.90
img000020.jpg,BigGAN,83.65
img000021.jpg,BigGAN,1.00
img000022.jpg,BigGAN,0.11
img000023.jpg,BigGAN,13.11
img000024.jpg,BigGAN,0.00
img000025.jpg,BigGAN,0.00
img000026.jpg,BigGAN,0.02
img000027.jpg,BigGAN,99.92
img000028.jpg,BigGAN,0.00
img000029.jpg,BigGAN,1.15
img000030.jpg,BigGAN,0.00
img000031.jpg,BigGAN,0.00
img000032.jpg,BigGAN,23.05
img000033.jpg,BigGAN,60.72
img000034.jpg,BigGAN,0.06
img000035.jpg,BigGAN,0.03
img000036.jpg,BigGAN,0.01
img000037.jpg,BigGAN,0.05
img000038.jpg,BigGAN,0.06
img000039.jpg,BigGAN,5.74
img000040.jpg,BigGAN,0.02
img000041.jpg,BigGAN,76.50
img000042.jpg,BigGAN,0.02
img000043.jpg,BigGAN,0.00
img000044.jpg,BigGAN,0.19
img000045.jpg,BigGAN,0.01
img000046.jpg,BigGAN,0.02
img000047.jpg,BigGAN,0.00
img000048.jpg,BigGAN,82.16
img000049.jpg,BigGAN,0.02
img000050.jpg,BigGAN,0.00
img000051.jpg,BigGAN,6.61
img000052.jpg,BigGAN,0.12
img000053.jpg,BigGAN,0.12
img000054.jpg,BigGAN,48.16
img000055.jpg,BigGAN,0.33
img000056.jpg,BigGAN,16.56
img000057.jpg,BigGAN,0.02
img000058.jpg,BigGAN,0.02
img000059.jpg,BigGAN,8.42
img000060.jpg,BigGAN,0.11
img000061.jpg,BigGAN,0.59
img000062.jpg,BigGAN,0.06
img000063.jpg,BigGAN,59.39
img000064.jpg,BigGAN,0.00
img000065.jpg,BigGAN,11.35
img000066.jpg,BigGAN,0.17
img000067.jpg,BigGAN,0.00
img000068.jpg,BigGAN,50.15
img000069.jpg,BigGAN,0.01
img000070.jpg,BigGAN,4.98
img000071.jpg,BigGAN,0.03
img000072.jpg,BigGAN,0.39
img000073.jpg,BigGAN,0.03
img000074.jpg,BigGAN,97.42
img000075.jpg,BigGAN,0.16
img000076.jpg,BigGAN,0.00
img000077.jpg,BigGAN,0.00
img000078.jpg,BigGAN,0.02
img000079.jpg,BigGAN,10.35
img000080.jpg,BigGAN,0.01
img000081.jpg,BigGAN,0.00
img000082.jpg,BigGAN,0.00
img000083.jpg,BigGAN,0.00
img000084.jpg,BigGAN,0.07
img000085.jpg,BigGAN,0.00
img000086.jpg,BigGAN,0.00
img000087.jpg,BigGAN,6.65
img000088.jpg,BigGAN,0.00
img000089.jpg,BigGAN,0.00
img000130.jpg,BigGAN,0.00
img000131.jpg,BigGAN,0.00
img000132.jpg,BigGAN,0.39
img000133.jpg,BigGAN,0.00
img000134.jpg,BigGAN,0.00
img000135.jpg,BigGAN,0.14
img000136.jpg,BigGAN,0.04
img000137.jpg,BigGAN,0.00
img000138.jpg,BigGAN,30.83
img000139.jpg,BigGAN,3.99
img000240.jpg,BigGAN,3.42
img000241.jpg,BigGAN,27.55
img000242.jpg,BigGAN,0.77
img000243.jpg,BigGAN,4.78
img000244.jpg,BigGAN,94.44
img000245.jpg,BigGAN,0.00
img000246.jpg,BigGAN,0.60
img000247.jpg,BigGAN,1.32
img000248.jpg,BigGAN,85.65
img000249.jpg,BigGAN,1.74
img000350.jpg,BigGAN,2.64
img000351.jpg,BigGAN,0.29
img000352.jpg,BigGAN,0.05
img000353.jpg,BigGAN,91.93
img000354.jpg,BigGAN,0.45
img000355.jpg,BigGAN,1.29
img000356.jpg,BigGAN,97.14
img000357.jpg,BigGAN,0.03
img000358.jpg,BigGAN,0.00
img000359.jpg,BigGAN,0.00
img000360.jpg,BigGAN,0.10
img000361.jpg,BigGAN,5.79
img000362.jpg,BigGAN,0.01
img000363.jpg,BigGAN,0.06
img000364.jpg,BigGAN,0.00
img000365.jpg,BigGAN,19.34
img000366.jpg,BigGAN,3.26
img000367.jpg,BigGAN,0.00
img000368.jpg,BigGAN,2.34
img000369.jpg,BigGAN,0.00
img000370.jpg,BigGAN,0.02
img000371.jpg,BigGAN,0.05
img000372.jpg,BigGAN,0.00
img000373.jpg,BigGAN,4.01
img000374.jpg,BigGAN,0.00
img000375.jpg,BigGAN,0.00
