Path,Model,%Syntetic
img000000.jpg,BigGAN,30.66
img000001.jpg,BigGAN,99.71
img000002.jpg,BigGAN,62.62
img000003.jpg,BigGAN,98.82
img000004.jpg,BigGAN,37.02
img000005.jpg,BigGAN,37.64
img000006.jpg,BigGAN,67.14
img000007.jpg,BigGAN,26.55
img000008.jpg,BigGAN,4.29
img000009.jpg,BigGAN,98.28
img000010.jpg,BigGAN,96.87
img000011.jpg,BigGAN,99.90
img000012.jpg,BigGAN,60.25
img000013.jpg,BigGAN,7.11
img000014.jpg,BigGAN,35.45
img000015.jpg,BigGAN,94.76
img000016.jpg,BigGAN,56.35
img000017.jpg,BigGAN,76.58
img000018.jpg,BigGAN,81.72
img000019.jpg,BigGAN,96.07
img000020.jpg,BigGAN,85.57
img000021.jpg,BigGAN,99.89
img000022.jpg,BigGAN,94.83
img000023.jpg,BigGAN,39.74
img000024.jpg,BigGAN,45.41
img000025.jpg,BigGAN,62.90
img000026.jpg,BigGAN,95.55
img000027.jpg,BigGAN,98.59
img000028.jpg,BigGAN,99.96
img000029.jpg,BigGAN,99.01
img000030.jpg,BigGAN,0.05
img000031.jpg,BigGAN,48.58
img000032.jpg,BigGAN,86.64
img000033.jpg,BigGAN,10.66
img000034.jpg,BigGAN,61.45
img000035.jpg,BigGAN,99.61
img000036.jpg,BigGAN,7.77
img000037.jpg,BigGAN,64.07
img000038.jpg,BigGAN,99.76
img000039.jpg,BigGAN,77.13
img000040.jpg,BigGAN,99.58
img000041.jpg,BigGAN,90.26
img000042.jpg,BigGAN,79.33
img000043.jpg,BigGAN,90.61
img000044.jpg,BigGAN,63.34
img000045.jpg,BigGAN,51.97
img000046.jpg,BigGAN,76.36
img000047.jpg,BigGAN,14.37
img000048.jpg,BigGAN,75.83
img000049.jpg,BigGAN,90.84
img000050.jpg,BigGAN,46.27
img000051.jpg,BigGAN,15.89
img000052.jpg,BigGAN,21.23
img000053.jpg,BigGAN,99.18
img000054.jpg,BigGAN,67.80
img000055.jpg,BigGAN,1.63
img000056.jpg,BigGAN,45.13
img000057.jpg,BigGAN,5.03
img000058.jpg,BigGAN,61.66
img000059.jpg,BigGAN,14.73
img000060.jpg,BigGAN,22.42
img000061.jpg,BigGAN,25.33
img000062.jpg,BigGAN,30.21
img000063.jpg,BigGAN,75.45
img000064.jpg,BigGAN,34.97
img000065.jpg,BigGAN,62.88
img000066.jpg,BigGAN,42.65
img000067.jpg,BigGAN,43.55
img000068.jpg,BigGAN,93.46
img000069.jpg,BigGAN,11.30
img000070.jpg,BigGAN,97.00
img000071.jpg,BigGAN,89.80
img000072.jpg,BigGAN,93.04
img000073.jpg,BigGAN,76.60
img000074.jpg,BigGAN,68.34
img000075.jpg,BigGAN,48.77
img000076.jpg,BigGAN,17.28
img000077.jpg,BigGAN,17.65
img000078.jpg,BigGAN,34.80
img000079.jpg,BigGAN,82.65
img000080.jpg,BigGAN,87.66
img000081.jpg,BigGAN,99.64
img000082.jpg,BigGAN,93.62
img000083.jpg,BigGAN,98.35
img000084.jpg,BigGAN,97.90
img000085.jpg,BigGAN,28.61
img000086.jpg,BigGAN,38.36
img000087.jpg,BigGAN,87.06
img000088.jpg,BigGAN,97.99
img000089.jpg,BigGAN,83.91
img000130.jpg,BigGAN,99.02
img000131.jpg,BigGAN,97.58
img000132.jpg,BigGAN,77.44
img000133.jpg,BigGAN,99.47
img000134.jpg,BigGAN,4.80
img000135.jpg,BigGAN,85.73
img000136.jpg,BigGAN,6.64
img000137.jpg,BigGAN,99.66
img000138.jpg,BigGAN,33.76
img000139.jpg,BigGAN,86.28
img000240.jpg,BigGAN,88.05
img000241.jpg,BigGAN,71.57
img000242.jpg,BigGAN,97.59
img000243.jpg,BigGAN,67.31
img000244.jpg,BigGAN,98.25
img000245.jpg,BigGAN,33.44
img000246.jpg,BigGAN,57.78
img000247.jpg,BigGAN,47.10
img000248.jpg,BigGAN,66.71
img000249.jpg,BigGAN,18.28
img000350.jpg,BigGAN,94.74
img000351.jpg,BigGAN,36.84
img000352.jpg,BigGAN,94.46
img000353.jpg,BigGAN,16.91
img000354.jpg,BigGAN,91.99
img000355.jpg,BigGAN,35.36
img000356.jpg,BigGAN,94.59
img000357.jpg,BigGAN,83.72
img000358.jpg,BigGAN,46.15
img000359.jpg,BigGAN,6.86
img000360.jpg,BigGAN,90.35
