Path,Model,%Syntetic
0000 (10).jpg,RealImagesDataset,0.04
0000 (2).jpg,RealImagesDataset,0.65
0000 (3).jpg,RealImagesDataset,0.00
0000 (4).jpg,RealImagesDataset,0.00
0000 (5).jpg,RealImagesDataset,2.13
0000 (6).jpg,RealImagesDataset,0.00
0000 (7).jpg,RealImagesDataset,0.00
0000 (8).jpg,RealImagesDataset,48.47
0000 (9).jpg,RealImagesDataset,0.00
0000.jpg,RealImagesDataset,0.00
0001 (10).jpg,RealImagesDataset,79.74
0001 (2).jpg,RealImagesDataset,0.02
0001 (3).jpg,RealImagesDataset,1.14
0001 (4).jpg,RealImagesDataset,0.00
0001 (5).jpg,RealImagesDataset,0.03
0001 (6).jpg,RealImagesDataset,0.00
0001 (7).jpg,RealImagesDataset,2.33
0001 (8).jpg,RealImagesDataset,3.11
0001 (9).jpg,RealImagesDataset,0.06
0001.jpg,RealImagesDataset,0.00
0002 (10).jpg,RealImagesDataset,0.00
0002 (2).jpg,RealImagesDataset,0.00
0002 (3).jpg,RealImagesDataset,0.33
0002 (4).jpg,RealImagesDataset,0.00
0002 (5).jpg,RealImagesDataset,0.01
0002 (6).jpg,RealImagesDataset,0.00
0002 (7).jpg,RealImagesDataset,0.00
0002 (8).jpg,RealImagesDataset,0.00
0002 (9).jpg,RealImagesDataset,0.00
0002.jpg,RealImagesDataset,0.00
0003 (10).jpg,RealImagesDataset,0.41
0003 (2).jpg,RealImagesDataset,0.00
0003 (3).jpg,RealImagesDataset,0.00
0003 (4).jpg,RealImagesDataset,0.41
0003 (5).jpg,RealImagesDataset,16.28
0003 (6).jpg,RealImagesDataset,0.00
0003 (7).jpg,RealImagesDataset,0.00
0003 (8).jpg,RealImagesDataset,0.00
0003 (9).jpg,RealImagesDataset,0.00
0003.jpg,RealImagesDataset,0.00
0004 (10).jpg,RealImagesDataset,0.00
0004 (2).jpg,RealImagesDataset,0.24
0004 (3).jpg,RealImagesDataset,0.94
0004 (4).jpg,RealImagesDataset,0.06
0004 (5).jpg,RealImagesDataset,0.00
0004 (6).jpg,RealImagesDataset,0.00
0004 (7).jpg,RealImagesDataset,0.00
0004 (8).jpg,RealImagesDataset,0.00
0004 (9).jpg,RealImagesDataset,0.00
0004.jpg,RealImagesDataset,0.10
0005 (10).jpg,RealImagesDataset,0.00
0005 (2).jpg,RealImagesDataset,0.05
0005 (3).jpg,RealImagesDataset,0.00
0005 (4).jpg,RealImagesDataset,0.00
0005 (5).jpg,RealImagesDataset,0.22
0005 (6).jpg,RealImagesDataset,0.00
0005 (7).jpg,RealImagesDataset,81.56
0005 (8).jpg,RealImagesDataset,0.00
0005 (9).jpg,RealImagesDataset,0.00
0005.jpg,RealImagesDataset,0.00
0006 (10).jpg,RealImagesDataset,0.04
0006 (2).jpg,RealImagesDataset,0.00
0006 (3).jpg,RealImagesDataset,0.00
0006 (4).jpg,RealImagesDataset,64.16
0006 (5).jpg,RealImagesDataset,0.00
0006 (6).jpg,RealImagesDataset,0.00
0006 (7).jpg,RealImagesDataset,99.96
0006 (8).jpg,RealImagesDataset,12.04
0006 (9).jpg,RealImagesDataset,0.00
0006.jpg,RealImagesDataset,26.30
0007 (10).jpg,RealImagesDataset,34.27
0007 (2).jpg,RealImagesDataset,0.00
0007 (3).jpg,RealImagesDataset,0.03
0007 (4).jpg,RealImagesDataset,0.00
0007 (5).jpg,RealImagesDataset,99.24
0007 (6).jpg,RealImagesDataset,5.70
0007 (7).jpg,RealImagesDataset,0.00
0007 (8).jpg,RealImagesDataset,0.00
0007 (9).jpg,RealImagesDataset,0.75
0007.jpg,RealImagesDataset,0.00
0008 (10).jpg,RealImagesDataset,0.00
0008 (2).jpg,RealImagesDataset,0.00
0008 (3).jpg,RealImagesDataset,0.00
0008 (4).jpg,RealImagesDataset,0.00
0008 (5).jpg,RealImagesDataset,0.00
0008 (6).jpg,RealImagesDataset,0.00
0008 (7).jpg,RealImagesDataset,67.88
