Path,Model,Verdict
img000000.jpg,BigGAN,human
img000002.jpg,BigGAN,human
img000003.jpg,BigGAN,human
img000040.jpg,BigGAN,human
img000376.jpg,BigGAN,human
img001807.jpg,BigGAN,human
img005270.jpg,BigGAN,human
img000000.jpg,CycleGAN,human
img000003.jpg,CycleGAN,human
img000005.jpg,CycleGAN,human
img000008.jpg,CycleGAN,human
img000027.jpg,CycleGAN,human
img000042.jpg,CycleGAN,human
img010929.jpg,CycleGAN,human
output_image0.png,Dall-e3,ai
output_image1.png,Dall-e3,ai
output_image2.png,Dall-e3,ai
output_image3.png,Dall-e3,ai
output_image4.png,Dall-e3,human
output_image5.png,Dall-e3,ai
output_image6.png,Dall-e3,ai
output_image7.png,Dall-e3,ai
img005000.jpg,GANFormer,human
img005003.jpg,GANFormer,human
img005004.jpg,GANFormer,human
img005006.jpg,GANFormer,human
img005007.jpg,GANFormer,human
img005009.jpg,GANFormer,human
img005010.jpg,GANFormer,human
img000004.jpg,GauGAN,human
img000013.jpg,GauGAN,ai
img000014.jpg,GauGAN,human
img000020.jpg,GauGAN,human
img000025.jpg,GauGAN,ai
img000027.jpg,GauGAN,ai
img000030.jpg,GauGAN,human
img000000.jpg,Glide,human
img000001.jpg,Glide,ai
img000002.jpg,Glide,human
img000003.jpg,Glide,human
img000004.jpg,Glide,human
img000005.jpg,Glide,human
img000006.jpg,Glide,human
473.png,IF,ai
489.png,IF,ai
498.png,IF,human
523.png,IF,human
565.png,IF,ai
592.png,IF,human
597.png,IF,human
0.png,Midjourney5,ai
16.png,Midjourney5,ai
24.png,Midjourney5,ai
32.png,Midjourney5,ai
40.png,Midjourney5,ai
48.png,Midjourney5,ai
8.png,Midjourney5,ai
img029253.jpg,ProGAN,ai
10080.png,SD1.5,ai
10112.png,SD1.5,ai
10213.png,SD1.5,ai
10336.png,SD1.5,ai
10349.png,SD1.5,ai
10390.png,SD1.5,ai
10395.png,SD1.5,ai
15236.png,SD2.1,ai
15237.png,SD2.1,ai
15239.png,SD2.1,ai
15241.png,SD2.1,ai
15243.png,SD2.1,ai
15245.png,SD2.1,ai
15249.png,SD2.1,ai
img000004.jpg,StarGAN,human
img000007.jpg,StarGAN,human
img000009.jpg,StarGAN,human
img000010.jpg,StarGAN,human
img002000.jpg,StarGAN,human
img002001.jpg,StarGAN,human
img002002.jpg,StarGAN,human
img008400.jpg,StyleGAN1,human
img008401.jpg,StyleGAN1,human
img008402.jpg,StyleGAN1,human
img008403.jpg,StyleGAN1,human
img008404.jpg,StyleGAN1,human
img008405.jpg,StyleGAN1,human
img008406.jpg,StyleGAN1,human
img000000.jpg,StyleGAN2,human
img000001.jpg,StyleGAN2,human
img000002.jpg,StyleGAN2,human
img000003.jpg,StyleGAN2,human
img000004.jpg,StyleGAN2,human
img000005.jpg,StyleGAN2,human
img000006.jpg,StyleGAN2,human
img000000.jpg,StyleGAN3,human
img000001.jpg,StyleGAN3,human
img000002.jpg,StyleGAN3,human
img000003.jpg,StyleGAN3,human
img000004.jpg,StyleGAN3,human
img000005.jpg,StyleGAN3,human
img000006.jpg,StyleGAN3,human
