url;h1_result
https://www.nu.nl/binnenland/6294352/weer-nacht-vol-explosies-in-meerdere-steden-aantal-incidenten-dit-jaar-verdrievoudigd.html; Weer nacht vol explosies in meerdere steden: aantal incidenten verdrievoudigd
https://www.nu.nl/dieren/6294370/baasje-gezocht-voor-honderden-axolotls-na-uit-de-hand-gelopen-schoolexperiment.html; Baasjes gezocht voor axolotl-babyboom na uit de hand gelopen schoolkweek
https://www.nu.nl/spanningen-oekraine/6294334/litouwen-repareert-voor-het-eerst-oekraiense-tanks-januari-weer-op-slagveld.html; Litouwen repareert voor het eerst Oekraïense tanks, januari weer op slagveld
https://www.nu.nl/voetbal/6294318/cambuur-coach-de-jong-woest-op-eigen-fans-idioten-hebben-geen-verstand.html; Cambuur-coach De Jong woest op eigen fans: 'Idioten hebben geen verstand'
https://www.nu.nl/algemeen/6294363/man-die-tim-hofman-wilde-doden-gaat-naar-pieter-baan-centrum.html; Man die Tim Hofman wilde doden gaat naar Pieter Baan Centrum
https://www.nu.nl/binnenland/6293933/guusje-ter-horst-is-klaar-met-gemeenten-die-mensen-met-beperking-tekortdoen.html; Guusje ter Horst is klaar met gemeenten die mensen met beperking tekortdoen
https://www.nu.nl/entertainment/6294308/friends-acteur-matthew-perry-overleed-aan-overdosis-ketamine.html; Friends-acteur Matthew Perry overleed aan overdosis ketamine
https://www.nu.nl/schaatsen/6294320/aflossingsploeg-verovert-goud-na-tumult-in-seoel-velzeboer-pakt-ook-brons.html; Aflossingsploeg verovert goud na tumult in Seoel, Velzeboer pakt ook brons
https://www.nu.nl/politiek/6294313/sigrid-kaag-blikt-terug-verruwing-en-intolerantie-in-nederland-zijn-tegengevallen.html; Sigrid Kaag blikt terug: 'Verruwing en intolerantie in Nederland zijn tegengevallen'
https://www.nu.nl/economie/6294377/ook-grote-rederij-msc-besluit-rode-zee-te-mijden-na-dreiging-rebellen-jemen.html; Ook grote rederij MSC besluit Rode Zee te mijden na dreiging rebellen Jemen
https://www.rtlnieuws.nl/nieuws/politiek/artikel/5424714/sigrid-kaag-teleurgesteld-formatie-rutte-iv-formatie;Kaag kijkt 'teleurgesteld' terug op Rutte IV: 'Al moe toen we begonnen'
https://www.rtlnieuws.nl/nieuws/buitenland/artikel/5424726/rederij-msc-rode-zee-dreiging-rebellen-jemen;Ook grote rederij MSC mijdt Rode Zee na dreiging Houthi-rebellen Jemen
https://www.rtlnieuws.nl/nieuws/buitenland/artikel/5424722/celstraffen-voor-organisatoren-dodelijke-ultramarathon-china;Organisatoren ultramarathon China jaren in cel na ramp met 21 doden
https://www.rtlnieuws.nl/sport/artikel/5424727/wereldkampioene-flury-wint-voor-eerst-wereldbeker-op-de-afdaling;Wereldkampioene Flury wint voor eerst wereldbeker op de afdaling
https://www.rtlnieuws.nl/sport/artikel/5424723/italie-wil-toch-nieuwe-baan-voor-sleesporten-op-winterspelen;Italië wil toch nieuwe baan voor sleesporten op Winterspelen
https://www.rtlnieuws.nl/entertainment/artikel/5423920/florine-echte-gooische-moeders-ibiza-twijfelen;Echte Gooische Moeder Florine twijfelt over toekomst op Ibiza: 'Niet de droom die we voor ogen hadden'
https://www.rtlnieuws.nl/nieuws/nederland/artikel/5424721/aantal-explosies-politie-rotterdam-vlaardingen;Aantal explosies bijna verdrievoudigd, meeste in Rotterdam
https://www.rtlnieuws.nl/nieuws/nederland/artikel/5424382/kerstmarkten-uitgegroeid-tot-nederlandse-traditie;Kerstmarkten hier steeds groter: 'Maar nog niet hetzelfde als in Duitsland'
https://www.rtlnieuws.nl/entertainment/artikel/5424720/gerard-depardieu-dreigt-hoge-franse-onderscheiding-te-verliezen;Gérard Depardieu dreigt ook hoge Franse onderscheiding te verliezen
https://www.rtlnieuws.nl/nieuws/nederland/artikel/5424542/dpg-media-rtl-overname-1-miljard-fusie-videoland;DPG Media wil RTL Nederland overnemen voor 1,1 miljard: 'Elke euro waard'
https://nos.nl/artikel/2501778-belgische-jongeren-gewond-door-explosie-gasfles-twee-in-levensgevaar;Belgische jongeren gewond door explosie gasfles, twee in levensgevaar
https://nos.nl/artikel/2501775-kaag-kijkt-terug-demonisering-en-dehumanisering-aan-de-orde-van-de-dag;Kaag kijkt terug: ‘Demonisering en dehumanisering aan de orde van de dag’
https://nos.nl/artikel/2501774-lokale-oekraiense-politicus-gooit-granaten-in-raadsvergadering-26-gewonden;Lokale Oekraïense politicus gooit granaten in raadsvergadering, 26 gewonden
https://nos.nl/artikel/2501772-verpakkingsvrije-boodschappen-slaan-nog-niet-aan-klant-nog-niet-overtuigd;Verpakkingsvrije boodschappen slaan nog niet aan: 'Klant nog niet overtuigd'
https://nos.nl/liveblog/2501756-leger-israel-doodgeschoten-gijzelaars-droegen-witte-vlag;Al Jazeera naar Strafhof voor dood cameraman
https://nos.nl/artikel/2501752-wekdienst-16-12-uitspraak-tegen-sjoemelkardinaal-sunak-spreekt-meloni-over-migratie;Wekdienst 16/12: Uitspraak tegen 'sjoemelkardinaal' • Sunak spreekt Meloni over migratie
https://nos.nl/artikel/2501751-vonnis-in-vastgoedproces-dat-vaticaans-rechtssysteem-op-de-proef-stelt;Vonnis in vastgoedproces dat Vaticaans rechtssysteem op de proef stelt
https://nos.nl/artikel/2501750-dode-na-woningbrand-in-vlissingen;Dode na woningbrand in Vlissingen
https://nos.nl/artikel/2501749-game-uitgever-activision-blizzard-schikt-in-intimidatie-zaak;Game-uitgever Activision Blizzard schikt in intimidatie-zaak
https://nos.nl/artikel/2501747-giuliani-voor-verkiezingsleugens-veroordeeld-tot-enorme-schadevergoeding;Giuliani voor verkiezingsleugens veroordeeld tot enorme schadevergoeding
https://www.telegraaf.nl/financieel/1012569190/sjaak-van-der-tak-onthult-geheim-rond-klappen-boerendeal-schuld-op-me-genomen;www.telegraaf.nl
https://www.telegraaf.nl/nieuws/801193809/nasa-legt-sterkste-zonnevlam-in-jaren-vast-dit-weekend-magnetische-stormen-verwacht;www.telegraaf.nl
https://www.telegraaf.nl/nieuws/1613766265/heldin-98-overleden-die-miljoenen-levens-redde-tijdens-de-wo-ii-door-ontcijferen-van-nazi-codes;www.telegraaf.nl
https://www.telegraaf.nl/nieuws/1322556858/nederlander-vast-in-spanje-om-drugssmokkel-bulgaarse-trucks-met-dubbele-bodem;www.telegraaf.nl
